测试用例ID,模块,功能,测试标题,前置条件,测试步骤,预期结果,优先级
3. 设置结束时间为非法格式（如"2023/01/02"）
4. 点击保存按钮,系统提示"结束时间格式错误"并且不允许保存,中
9,促销规则,时间段验证,验证促销活动开始时间和结束时间均为合法值,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置开始时间为2023-01-01 10:00:00
3. 设置结束时间为2023-01-02 10:00:00
4. 点击保存按钮,系统成功保存促销活动时间设置,高
10,促销规则,消费金额条件,验证最低消费金额为负数,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置最低消费金额为-100
3. 点击保存按钮,系统提示"最低消费金额不能为负数"并且不允许保存,高
11,促销规则,消费金额条件,验证最低消费金额为零,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置最低消费金额为0
3. 点击保存按钮,系统成功保存促销活动金额设置,中
12,促销规则,消费金额条件,验证最低消费金额为正数,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置最低消费金额为100
3. 点击保存按钮,系统成功保存促销活动金额设置,高
13,促销规则,消费金额条件,验证最低消费金额为非数字,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置最低消费金额为"abc"
3. 点击保存按钮,系统提示"最低消费金额必须为数字"并且不允许保存,中
14,促销规则,消费金额条件,验证最低消费金额为空,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 不设置最低消费金额
3. 点击保存按钮,系统提示"最低消费金额不能为空"并且不允许保存,高
15,促销规则,消费金额条件,验证最低消费金额超过系统允许的最大值,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置最低消费金额为1000000000（假设系统最大允许值为999999）
3. 点击保存按钮,系统提示"最低消费金额超过系统允许的最大值"并且不允许保存,中
16,促销规则,折扣规则,验证折扣率为负数,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置折扣率为-10%
3. 点击保存按钮,系统提示"折扣率不能为负数"并且不允许保存,高
17,促销规则,折扣规则,验证折扣率为零,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置折扣率为0%
3. 点击保存按钮,系统提示"折扣率必须大于0%"并且不允许保存,高
18,促销规则,折扣规则,验证折扣率为100%,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置折扣率为100%
3. 点击保存按钮,系统成功保存促销活动折扣设置,中
19,促销规则,折扣规则,验证折扣率大于100%,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置折扣率为110%
3. 点击保存按钮,系统提示"折扣率不能大于100%"并且不允许保存,高
20,促销规则,折扣规则,验证折扣率为非数字,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置折扣率为"abc"
3. 点击保存按钮,系统提示"折扣率必须为数字"并且不允许保存,中
21,促销规则,折扣规则,验证折扣率为空,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 不设置折扣率
3. 点击保存按钮,系统提示"折扣率不能为空"并且不允许保存,高
22,促销规则,折扣规则,验证折扣率为正常值,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置折扣率为80%
3. 点击保存按钮,系统成功保存促销活动折扣设置,高
23,促销规则,适用商品范围,验证未选择任何适用商品,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 不选择任何适用商品
3. 点击保存按钮,系统提示"请至少选择一个适用商品"并且不允许保存,高
24,促销规则,适用商品范围,验证选择单个适用商品,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 选择一个适用商品
3. 点击保存按钮,系统成功保存促销活动适用商品设置,高
25,促销规则,适用商品范围,验证选择多个适用商品,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 选择多个适用商品
3. 点击保存按钮,系统成功保存促销活动适用商品设置,高
26,促销规则,适用商品范围,验证选择全部商品,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 选择"全部商品"选项
3. 点击保存按钮,系统成功保存促销活动适用商品设置为全部商品,高
27,促销规则,适用商品范围,验证选择商品分类,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 选择一个商品分类
3. 点击保存按钮,系统成功保存促销活动适用商品设置为该分类下的所有商品,高
28,促销规则,适用用户范围,验证未选择任何适用用户,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 不选择任何适用用户
3. 点击保存按钮,系统提示"请至少选择一个适用用户群体"并且不允许保存,高
29,促销规则,适用用户范围,验证选择单个用户群体,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 选择一个用户群体（如"新用户"）
3. 点击保存按钮,系统成功保存促销活动适用用户设置,高
30,促销规则,适用用户范围,验证选择多个用户群体,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 选择多个用户群体（如"新用户"和"VIP用户"）
3. 点击保存按钮,系统成功保存促销活动适用用户设置,高
31,促销规则,适用用户范围,验证选择全部用户,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 选择"全部用户"选项
3. 点击保存按钮,系统成功保存促销活动适用用户设置为全部用户,高
32,促销规则,促销活动名称,验证促销活动名称为空,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 不填写促销活动名称
3. 点击保存按钮,系统提示"促销活动名称不能为空"并且不允许保存,高
33,促销规则,促销活动名称,验证促销活动名称超过最大长度,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 填写超过系统允许最大长度的促销活动名称（假设最大长度为50个字符）
3. 点击保存按钮,系统提示"促销活动名称不能超过50个字符"并且不允许保存,中
